Brand,Model,Year,Price,Mileage,Transmission,Fuel Type,Previous Owners,Color,Body Type,Engine position,Engine capacity (litre),Cylinder layout and quantity,Seats (quantity),No of doors,Front tyres,Rear tyres,Driven wheels,Fuel capacity,Fuel consumption (average),Fuel range (average),Power maximum (detail),Torque maximum,Acceleration 0-100 km/h,Maximum/top speed,CO2 emissions (average)
BMW,X3 xDrive20d xLine,2019,559000.0,83356.0,Automatic,Diesel,Unknown,White,SUV,Front,2.0,i4,5.0,5.0,245/50 R18 (opt 245/45 R19),,All Wheel Drive,67.0,5.0,1340.0,140.0,400.0,8.1,210.0,131.0
Toyota,Agya 1.0,2022,159900.0,44110.0,Manual,Petrol,1,Silver,Hatchback,Front,1.0,i3,5.0,5.0,175/65 R14,175/65 R14,Front Wheel Drive,33.0,4.8,688.0,49.0,89.0,14.6,165.0,112.0
Volkswagen,Polo Vivo Hatch 1.4 Trendline,2023,259900.0,5500.0,Manual,Petrol,Unknown,Reflex silver metall,Hatchback,Front,1.4,i4,5.0,5.0,185/60 R14 (opt 185/60 R15),185/60 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.7,790.0,55.0,130.0,,171.0,134.0
Hyundai,Elantra 1.6 Executive,2019,249990.0,65000.0,Manual,Petrol,Unknown,Polar white,Sedan,Front,1.6,i4,5.0,4.0,205/55 R16,205/55 R16,Front Wheel Drive,50.0,6.5,769.0,93.0,155.0,10.1,200.0,155.0
Renault,Sandero 66kW Turbo Stepway Expression,2018,149900.0,77700.0,Manual,Petrol,1,Grey,Hatchback,Front,0.9,i3,5.0,5.0,205/55 R16,205/55 R16,Front Wheel Drive,50.0,5.4,926.0,66.0,135.0,11.1,168.0,124.0
Toyota,Fortuner 2.8GD-6 Epic,2020,599900.0,44900.0,Automatic,Diesel,1,White,SUV,Front,2.8,i4,7.0,5.0,265/60 R18,265/60 R18,4x2,80.0,8.0,1000.0,130.0,450.0,10.8,180.0,212.0
Bentley,Bentayga Diesel,2018,2799800.0,98000.0,Automatic,Diesel,1,Blue,SUV,Front,4.0,V8,5.0,5.0,275/50 R20 (opt 285/45 R21 / opt 285/40 R22),275/50 R20 (opt 285/45 R21 / opt 285/40 R22),All Wheel Drive,85.0,8.0,1063.0,320.0,900.0,4.8,270.0,210.0
Volkswagen,Polo Hatch 1.0TSI Comfortline Auto,2020,228000.0,4000.0,Automatic,Petrol,1,Blue,Hatchback,Front,1.0,i3,5.0,5.0,185/65 R15,185/65 R15,Front Wheel Drive,40.0,4.7,851.0,70.0,175.0,10.8,187.0,107.0
BMW,X4 M40d,2020,899900.0,69750.0,Automatic,Diesel,1,Grey,SUV,Front,3.0,i6,5.0,5.0,245/45 R20 (opt 245/40 R21),275/40 R20 (opt 275/35 R21),All Wheel Drive,68.0,6.8,1000.0,240.0,680.0,4.9,250.0,179.0
Toyota,RAV4 2.0 GX Auto,2020,439900.0,52120.0,Automatic,Petrol,1,White,SUV,Front,2.0,i4,5.0,5.0,225/65 R17,225/65 R17,Front Wheel Drive,55.0,6.5,846.0,127.0,203.0,,190.0,147.0
Honda,CR-V 2.0 Comfort,2018,319900.0,67000.0,Automatic,Petrol,Unknown,Grey,SUV,Front,2.0,i4,5.0,5.0,235/65 R17,235/65 R17,Front Wheel Drive,57.0,7.3,781.0,113.0,189.0,11.2,192.0,173.0
Volkswagen,Polo Vivo Hatch 1.4 Trendline,2023,245900.0,218.0,Manual,Petrol,Unknown,Limestone grey,Hatchback,Front,1.4,i4,5.0,5.0,185/60 R14 (opt 185/60 R15),185/60 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.7,790.0,55.0,130.0,,171.0,134.0
BMW,2 Series 220d Coupe M Sport Auto,2018,425900.0,23256.0,Automatic,Diesel,1,White,Coupé,Front,2.0,i4,4.0,2.0,225/45 R17 (opt 225/40 R18),245/40 R17 (opt 245/35 R18),Rear Wheel Drive,52.0,4.0,1300.0,140.0,400.0,7.0,230.0,104.0
Volkswagen,Polo Hatch 1.0TSI Highline Auto,2022,369950.0,25000.0,Automatic,Petrol,Unknown,Pure white,Hatchback,Front,1.0,i3,5.0,5.0,195/55 R16,195/55 R16,Front Wheel Drive,40.0,4.8,833.0,85.0,200.0,9.5,200.0,109.0
Audi,A5 Sportback 40TDI Quattro S Line,2021,779950.0,19400.0,Automatic,Diesel,Unknown,Glacier white metallic,Fastback,Front,2.0,i4,5.0,5.0,245/40 R18 (255/35 R19 / opt 265/30 R20),245/40 R18 (255/35 R19 / opt 265/30 R20),All Wheel Drive,58.0,6.0,967.0,140.0,400.0,7.6,235.0,162.0
Audi,Q3 40TFSI Quattro S Line,2021,759950.0,13000.0,Automatic,Petrol,Unknown,Daytona gray pearlescent,SUV,Front,2.0,i4,5.0,5.0,235/55 R18 (opt 235/50 R19),235/55 R18 (opt 235/50 R19),All Wheel Drive,60.0,8.2,732.0,132.0,320.0,7.8,220.0,187.0
Mercedes-Benz,V-Class V250d Avantgarde,2019,1052900.0,66000.0,Automatic,Diesel,1,Grey,MPV,Front,2.1,i4,6.0,5.0,245/45 R19,245/45 R19,Rear Wheel Drive,70.0,6.5,1081.0,140.0,440.0,9.6,206.0,169.0
Toyota,Hilux 2.4GD-6 Xtra Cab Raider,2022,487900.0,7808.0,Manual,Diesel,1,Grey,Extended cab,Front,2.4,i4,2.0,4.0,265/65 R17,265/65 R17,4x2,80.0,,,110.0,400.0,,175.0,
Kia,Grand Sedona 2.2CRDi SXL,2019,551900.0,23000.0,Automatic,Diesel,1,White,MPV,Front,2.2,i4,7.0,5.0,235/60 R18,235/60 R18,Front Wheel Drive,80.0,8.0,1000.0,147.0,440.0,13.6,190.0,208.0
JMC,Landwind 5 2.0T Lux,2018,97900.0,50000.0,Manual,Petrol,1,Silver,SUV,Front,2.0,i4,5.0,5.0,225/65 R17,225/65 R17,Front Wheel Drive,60.0,8.5,706.0,140.0,250.0,11.0,185.0,201.0
Porsche,Cayenne GTS,2018,931900.0,37176.0,Automatic,Petrol,1,Red,SUV,Front,3.6,V6,5.0,5.0,275/45 R20,275/45 R20,All Wheel Drive,100.0,9.8,1020.0,324.0,600.0,5.2,262.0,228.0
Renault,Kiger 1.0 Turbo Intens Auto,2022,333615.0,7000.0,Automatic,Petrol,Unknown,Red,SUV,Front,1.0,i3,5.0,5.0,195/60 R16,195/60 R16,Front Wheel Drive,40.0,5.4,741.0,74.0,160.0,,,129.0
MINI,Hatch Cooper Hatch 3-Door Auto,2020,446085.0,38000.0,Automatic,Petrol,Unknown,Black,Hatchback,Front,1.5,i3,4.0,3.0,195/55 R16 (opt 205/45 R17),195/55 R16 (opt 205/45 R17),Front Wheel Drive,40.0,5.3,816.0,100.0,220.0,7.8,210.0,122.0
Volkswagen,Polo Vivo Hatch 1.4 Trendline,2022,229990.0,14187.0,Manual,Petrol,Unknown,Silver,Hatchback,Front,1.4,i4,5.0,5.0,175/70 R14 (opt 185/60 R15),175/70 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.7,790.0,55.0,130.0,,171.0,134.0
Land,Rover Defender 110 D300 X-Dynamic HSE,2021,1579000.0,23202.0,Automatic,Diesel,Unknown,Grey,SUV,Front,3.0,i6,5.0,5.0,255/60 R20 (opt 255/65 R19 / opt 275/45 R22),255/60 R20 (opt 255/65 R19 / opt 275/45 R22),4x4,89.0,7.6,1171.0,221.0,650.0,7.0,191.0,199.0
Toyota,Fortuner 2.8GD-6 4x4 Auto,2019,589000.0,70270.0,Automatic,Diesel,Unknown,Grey,SUV,Front,2.8,i4,7.0,5.0,265/60 R18,265/60 R18,4x4,80.0,8.5,941.0,130.0,450.0,10.8,180.0,224.0
Kia,Picanto 1.2 Style Auto,2023,249995.0,2650.0,Automatic,Petrol,1,Yellow,Hatchback,Front,1.2,i4,5.0,5.0,175/65 R14,175/65 R14,Front Wheel Drive,35.0,5.9,593.0,61.0,122.0,,160.0,138.0
OMODA,C5 230t Elegance,2023,507900.0,644.0,Automatic,Petrol,1,Green,SUV,Front,1.5,i4,5.0,5.0,215/55 R18,215/55 R18,Front Wheel Drive,51.0,6.9,739.0,115.0,230.0,,,169.0
Land,Rover Range Rover Sport SVR,2019,2329900.0,13500.0,Automatic,Petrol,1,Grey,SUV,Front,5.0,V8,5.0,5.0,275/45 R21 (opt 295/40 R22),275/45 R21 (opt 295/40 R22),All Wheel Drive,104.0,2.8,813.0,423.0,700.0,4.5,280.0,294.0
GWM,P-Series 2.0TD Double Cab DLX 4x4 Auto,2023,551950.0,1500.0,Automatic,Diesel,Unknown,White,Double cab,Front,2.0,i4,5.0,4.0,245/70 R17,245/70 R17,All Wheel Drive,78.0,9.4,,120.0,400.0,,,244.0
Haval,Jolion 1.5T Super Luxury,2023,446950.0,1500.0,Automatic,Petrol,Unknown,White,SUV,Front,1.5,i4,5.0,5.0,225/55 R18,225/55 R18,Front Wheel Drive,57.0,7.5,760.0,105.0,210.0,,,186.0
Haval,Jolion 1.5T S Super Luxury,2023,479950.0,1500.0,Automatic,Petrol,Unknown,Grey,SUV,Front,1.5,i4,5.0,5.0,225/55 R18,225/55 R18,Front Wheel Drive,57.0,7.5,760.0,130.0,270.0,,,173.0
Haval,Jolion 1.5T Super Luxury,2023,446950.0,1500.0,Automatic,Petrol,Unknown,Black,SUV,Front,1.5,i4,5.0,5.0,225/55 R18,225/55 R18,Front Wheel Drive,57.0,7.5,760.0,105.0,210.0,,,186.0
Haval,Jolion 1.5T Premium,2023,384950.0,1500.0,Automatic,Petrol,Unknown,White,SUV,Front,1.5,i4,5.0,5.0,215/60 R17,215/60 R17,Front Wheel Drive,57.0,7.5,760.0,105.0,210.0,,,186.0
Haval,Jolion 1.5T Super Luxury,2023,446950.0,1500.0,Automatic,Petrol,Unknown,Grey,SUV,Front,1.5,i4,5.0,5.0,225/55 R18,225/55 R18,Front Wheel Drive,57.0,7.5,760.0,105.0,210.0,,,186.0
Haval,Jolion 1.5T City,2023,342950.0,1500.0,Manual,Petrol,Unknown,White,SUV,Front,1.5,i4,5.0,5.0,215/60 R17,215/60 R17,Front Wheel Drive,57.0,7.5,760.0,105.0,210.0,,,172.0
Haval,H6 GT 2.0T 4WD Super Luxury,2023,629950.0,1500.0,Automatic,Petrol,Unknown,Grey,SUV,Front,2.0,i4,5.0,5.0,235/55 R19,235/55 R19,All Wheel Drive,60.0,8.4,714.0,155.0,325.0,,,193.0
Haval,H6 2.0T Luxury,2023,499950.0,1500.0,Automatic,Petrol,Unknown,White,SUV,Front,2.0,i4,5.0,5.0,225/60 R18,225/60 R18,Front Wheel Drive,60.0,7.4,811.0,150.0,320.0,,,169.0
Toyota,Corolla Quest 1.8 Auto,2021,279990.0,44699.0,Automatic,Petrol,Unknown,Silver,Sedan,Front,1.8,i4,5.0,4.0,195/65 R15,195/65 R15,Front Wheel Drive,55.0,6.3,873.0,103.0,173.0,10.2,195.0,150.0
Volkswagen,Polo Vivo Hatch 1.4 Trendline,2018,139950.0,249500.0,Manual,Petrol,1,White,Hatchback,Front,1.4,i4,5.0,5.0,175/70 R14 (opt 185/60 R15),175/70 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.7,790.0,55.0,130.0,,171.0,134.0
Volkswagen,Polo Hatch 1.0TSI Highline R-Line Auto,2020,359950.0,59500.0,Automatic,Petrol,1,White,Hatchback,Front,1.0,i3,5.0,5.0,215/45 R17,215/45 R17,Front Wheel Drive,40.0,4.8,833.0,85.0,200.0,9.5,200.0,109.0
Toyota,Avanza 1.5 SX Auto,2021,239950.0,113500.0,Automatic,Petrol,1,Gold,MPV,Front,1.5,i4,7.0,5.0,185/70 R14,185/70 R14,Rear Wheel Drive,45.0,6.7,672.0,77.0,137.0,,160.0,160.0
Toyota,Urban Cruiser 1.5 Xs auto,2021,289990.0,51000.0,Automatic,Petrol,Unknown,Grey,SUV,Front,1.5,i4,5.0,5.0,215/60 R16,215/60 R16,Front Wheel Drive,48.0,6.2,774.0,77.0,138.0,,165.0,145.0
Volkswagen,Polo Sedan 1.4 Trendline,2022,229500.0,41914.0,Manual,Petrol,Unknown,Silver,Sedan,Front,1.4,i4,5.0,4.0,175/70 R14,175/70 R14,Front Wheel Drive,55.0,5.9,932.0,63.0,132.0,12.8,178.0,139.0
Volkswagen,Polo Hatch 1.0TSI Trendline,2021,269500.0,35800.0,Manual,Petrol,Unknown,Silver,Hatchback,Front,1.0,i3,5.0,5.0,175/70 R14,175/70 R14,Front Wheel Drive,40.0,4.5,889.0,70.0,175.0,10.8,187.0,103.0
Nissan,NP300 Hardbody 2.5TDi Double Cab Hi-Rider,2018,199500.0,143003.0,Manual,Diesel,Unknown,White,Double cab,Front,2.5,i4,5.0,4.0,245/70 R16,245/70 R16,4x2,75.0,8.8,852.0,98.0,304.0,,,233.0
Suzuki,Jimny 1.5 GL Allgrip Auto,2022,379899.0,11000.0,Automatic,Petrol,Unknown,Black,SUV,Front,1.5,i4,4.0,3.0,205/70 R15,205/70 R15,4x4,40.0,6.8,588.0,75.0,130.0,,,158.0
Ford,Ranger 3.0 V6 Ecoboost Double Cab Raptor 4wd,2023,1319900.0,1500.0,Automatic,Petrol,Unknown,Meteor grey,Double cab,Front,3.0,V6,5.0,4.0,285/70 R17,285/70 R17,4x4,80.0,0.5,696.0,292.0,583.0,,,262.0
Kia,Picanto 1.0 Smart,2019,169990.0,60000.0,Manual,Petrol,1,Red,Hatchback,Front,1.0,i3,5.0,5.0,185/55 R15,185/55 R15,Front Wheel Drive,35.0,5.0,700.0,49.0,95.0,,155.0,118.0
Chery,Tiggo 7 Pro 1.5T Executive,2023,429990.0,3850.0,Automatic,Petrol,1,Grey,SUV,Front,1.5,i4,5.0,5.0,225/60 R18,225/60 R18,Front Wheel Drive,51.0,6.8,750.0,108.0,210.0,,,168.0
Chery,Tiggo 7 Pro 1.5T Distinction,2022,369990.0,15000.0,Automatic,Petrol,1,White,SUV,Front,1.5,i4,5.0,5.0,225/60 R18,225/60 R18,Front Wheel Drive,51.0,6.8,750.0,108.0,210.0,,,168.0
Mercedes-Benz,CLA CLA200 Progressive,2023,949950.0,1500.0,Automatic,Petrol,Unknown,Denim blue metallic,Sedan,Front,1.3,i4,5.0,4.0,225/45 R18 (opt 225/40 R19),225/45 R18 (opt 225/40 R19),Front Wheel Drive,43.0,5.5,782.0,120.0,250.0,8.2,229.0,130.0
Volkswagen,Tiguan 2.0TSI 4Motion Highline,2019,459950.0,165845.0,Automatic,Petrol,1,Black,SUV,Front,2.0,i4,5.0,5.0,235/55 R18 (opt 255/45 R19),235/55 R18 (opt 255/45 R19),All Wheel Drive,60.0,7.8,769.0,162.0,350.0,6.5,220.0,180.0
Peugeot,2008 1.2T 96kW Active,2022,399890.0,100000.0,Automatic,Petrol,Unknown,Red,SUV,Front,1.2,i3,5.0,5.0,215/65 R16,215/65 R16,Front Wheel Drive,44.0,6.5,677.0,96.0,230.0,9.1,198.0,148.0
Isuzu,mu-X 3.0 4WD,2019,599990.0,38888.0,Automatic,Diesel,Unknown,Silver,SUV,Front,3.0,i4,7.0,5.0,255/60 R18,255/60 R18,4x4,65.0,7.9,823.0,130.0,380.0,,,208.0
Ford,Kuga 2.0TDCi AWD ST Line,2019,399900.0,76000.0,Automatic,Diesel,Unknown,Grey,SUV,Front,2.0,i4,5.0,5.0,235/50 R18 (opt 235/45 R19),235/50 R18 (opt 235/45 R19),All Wheel Drive,60.0,5.4,1111.0,132.0,400.0,10.4,196.0,140.0
Renault,Megane 97kW Turbo GT Line,2018,239995.0,71236.0,Manual,Petrol,Unknown,White,Hatchback,Front,1.2,i4,5.0,5.0,225/45 R17,225/45 R17,Front Wheel Drive,50.0,5.3,943.0,97.0,205.0,10.6,197.0,119.0
Toyota,Etios Hatch 1.5 Xi,2020,169995.0,47865.0,Manual,Petrol,Unknown,Quicksilver,Hatchback,Front,1.5,i4,5.0,5.0,175/65 R14,175/65 R14,Front Wheel Drive,45.0,6.0,750.0,66.0,132.0,11.3,165.0,138.0
Toyota,Starlet 1.4 XS Auto,2022,239900.0,13846.0,Automatic,Petrol,Unknown,Mystic pearl white (zhj),Hatchback,Front,1.4,i4,5.0,5.0,185/55 R16,185/55 R16,Front Wheel Drive,37.0,5.4,685.0,68.0,130.0,11.6,170.0,128.0
Toyota,Starlet 1.4 XS Auto,2022,239900.0,24315.0,Automatic,Petrol,Unknown,Ice silver (zzp),Hatchback,Front,1.4,i4,5.0,5.0,185/55 R16,185/55 R16,Front Wheel Drive,37.0,5.4,685.0,68.0,130.0,11.6,170.0,128.0
Toyota,Starlet 1.4 Xi,2021,195900.0,26725.0,Manual,Petrol,Unknown,Mystic pearl white (zhj),Hatchback,Front,1.4,i4,5.0,5.0,175/65 R15,175/65 R15,Front Wheel Drive,37.0,5.1,726.0,68.0,130.0,10.9,180.0,120.0
Toyota,Starlet 1.4 Xi,2021,199900.0,26613.0,Manual,Petrol,Unknown,Mystic pearl white (zhj),Hatchback,Front,1.4,i4,5.0,5.0,175/65 R15,175/65 R15,Front Wheel Drive,37.0,5.1,726.0,68.0,130.0,10.9,180.0,120.0
Toyota,Starlet 1.4 Xi,2021,199900.0,26971.0,Manual,Petrol,Unknown,Mystic pearl white (zhj),Hatchback,Front,1.4,i4,5.0,5.0,175/65 R15,175/65 R15,Front Wheel Drive,37.0,5.1,726.0,68.0,130.0,10.9,180.0,120.0
BMW,3 Series 320i Luxury Line Auto,2018,359000.0,41500.0,Automatic,Petrol,Unknown,White,Sedan,Front,2.0,i4,5.0,4.0,225/50 R17 (opt 225/55 R16 / 225/45 R18 / opt 225/40 R19),225/50 R17 (opt 225/55 R16 / opt 255/45 R17 / opt 225/45 R18 / opt 255/40 R18 / opt 255/35 R19),Rear Wheel Drive,60.0,5.3,1132.0,135.0,270.0,7.3,235.0,124.0
Audi,A3 Sedan 35TFSI,2019,349000.0,93939.0,Automatic,Petrol,Unknown,White,Sedan,Front,1.4,i4,5.0,4.0,225/45 R17 (opt 225/40 R18 / opt 235/35 R19),225/45 R17 (opt 225/40 R18 / opt 235/35 R19),Front Wheel Drive,50.0,4.8,1042.0,110.0,250.0,8.2,224.0,111.0
Volkswagen,T-Cross 1.0TSI 85kW Highline,2021,429995.0,39032.0,Automatic,Petrol,Unknown,Pure white,SUV,Front,1.0,i3,5.0,5.0,215/45 R18,215/45 R18,Front Wheel Drive,40.0,5.3,755.0,85.0,200.0,10.2,193.0,126.0
Hyundai,Creta 1.5D Executive,2021,419995.0,27000.0,Automatic,Diesel,Unknown,Red,SUV,Front,1.5,i4,5.0,5.0,215/60 R17,215/60 R17,Front Wheel Drive,50.0,5.9,848.0,84.0,250.0,11.7,173.0,147.0
Volkswagen,Golf GTi,2021,749995.0,3700.0,Automatic,Petrol,Unknown,Red,Hatchback,Front,2.0,i4,5.0,5.0,225/40 R18 (opt 235/35 R19),225/40 R18 (opt 235/35 R19),Front Wheel Drive,50.0,7.0,714.0,180.0,370.0,6.4,250.0,159.0
BMW,3 Series 320i M Sport,2018,369000.0,77267.0,Manual,Petrol,Unknown,Alpine white iii,Sedan,Front,2.0,i4,5.0,4.0,225/45 R18 (opt 225/40 R19),255/40 R18 (opt 255/35 R19),Rear Wheel Drive,60.0,5.5,1091.0,135.0,290.0,7.2,235.0,128.0
Toyota,Hilux 2.8GD-6 Xtra Cab Legend 50 Auto,2020,364995.0,32000.0,Automatic,Diesel,1,Nice white,Extended cab,Front,2.8,i4,2.0,4.0,265/60 R18,265/60 R18,4x2,80.0,,,130.0,450.0,11.2,180.0,
Volkswagen,Polo Vivo Hatch 1.6 Comfortline Auto,2018,217850.0,34557.0,Automatic,Petrol,Unknown,Pure white,Hatchback,Front,1.6,i4,5.0,5.0,175/70 R14 (opt 185/60 R15),175/70 R14 (opt 185/60 R15),Front Wheel Drive,45.0,6.1,738.0,77.0,153.0,,188.0,144.0
Volkswagen,Polo Vivo Hatch 1.4 Comfortline,2021,219850.0,32494.0,Manual,Petrol,Unknown,Reef blue metallic,Hatchback,Front,1.4,i4,5.0,5.0,175/70 R14 (opt 185/60 R15),175/70 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.9,763.0,63.0,132.0,,177.0,140.0
Volkswagen,Polo Vivo Hatch 1.4 Comfortline,2018,187850.0,68071.0,Manual,Petrol,Unknown,Pure white,Hatchback,Front,1.4,i4,5.0,5.0,175/70 R14 (opt 185/60 R15),175/70 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.9,763.0,63.0,132.0,,177.0,140.0
Kia,Rio hatch 1.2 LS,2019,199850.0,57447.0,Manual,Petrol,Unknown,Red,Hatchback,Front,1.2,i4,5.0,5.0,185/65 R15,185/65 R15,Front Wheel Drive,45.0,5.7,796.0,62.0,120.0,12.9,170.0,135.0
Volvo,V40 D3 Inscription,2018,297900.0,99000.0,Automatic,Diesel,Unknown,White,Hatchback,Front,2.0,i4,5.0,5.0,225/40 R18 (opt 205/50 R17 / opt 225/45 R17),225/40 R18 (opt 205/50 R17 / opt 225/45 R17),Front Wheel Drive,62.0,4.0,1550.0,110.0,320.0,8.4,210.0,104.0
Volkswagen,Polo Hatch 1.0TSI Comfortline R-Line,2021,339850.0,23000.0,Manual,Petrol,1,Grey,Hatchback,Front,1.0,i3,5.0,5.0,215/45 R17,215/45 R17,Front Wheel Drive,40.0,5.4,741.0,70.0,175.0,10.8,187.0,121.0
Toyota,Corolla Cross 1.8 Xi,2022,359990.0,12000.0,Automatic,Petrol,1,White,SUV,Front,1.8,i4,5.0,5.0,215/60 R17,215/60 R17,Front Wheel Drive,47.0,6.8,691.0,103.0,172.0,,185.0,154.0
Toyota,Etios Sedan 1.5 Xi,2020,119000.0,41000.0,Manual,Petrol,Unknown,Grey,Sedan,Front,1.5,i4,5.0,4.0,175/65 R14,175/65 R14,Front Wheel Drive,45.0,5.9,763.0,66.0,132.0,11.3,165.0,136.0
Jeep,Grand Cherokee L 3.6 4x4 Overland,2022,1219900.0,20000.0,Automatic,Petrol,1,Black,SUV,Front,3.6,V6,7.0,5.0,265/50 R20,265/50 R20,4x4,87.0,0.6,821.0,210.0,344.0,,,243.0
Audi,A1 Sportback 40TFSI S Line,2019,519900.0,36444.0,Automatic,Petrol,1,Blue,Hatchback,Front,2.0,i4,5.0,5.0,215/45 R17 (opt 215/40 R18),215/45 R17 (opt 215/40 R18),Front Wheel Drive,40.0,6.0,667.0,147.0,320.0,6.5,235.0,145.0
Mercedes-Benz,C-Class C200 AMG Line,2019,599900.0,36000.0,Automatic,Petrol,Unknown,Grey,Sedan,Front,2.0,i4,5.0,4.0,225/45 R18 (opt 225/40 R19),245/40 R18 (opt 255/35 R19),Rear Wheel Drive,66.0,6.8,971.0,150.0,300.0,7.1,245.0,155.0
Mercedes-AMG,A-Class A45 S Hatch 4Matic+,2023,1499900.0,9000.0,Automatic,Petrol,Unknown,Blue,Hatchback,Front,2.0,i4,5.0,5.0,245/35 R19,245/35 R19,All Wheel Drive,51.0,8.9,573.0,310.0,500.0,3.9,270.0,202.0
Mercedes-AMG,A-Class A35 Hatch 4Matic,2023,1199900.0,9000.0,Automatic,Petrol,Unknown,White,Hatchback,Front,2.0,i4,5.0,5.0,235/35 R19,235/35 R19,All Wheel Drive,51.0,7.4,689.0,235.0,400.0,4.7,250.0,180.0
Suzuki,Vitara Brezza 1.5 GLX Auto,2022,299900.0,10500.0,Automatic,Petrol,Unknown,Grey,SUV,Front,1.5,i4,5.0,5.0,215/60 R16,215/60 R16,Front Wheel Drive,48.0,6.2,774.0,77.0,138.0,,,145.0
Audi,A4 35TDI Advanced,2023,749995.0,53.0,Automatic,Diesel,Unknown,Floret silver metallic,Sedan,Front,2.0,i4,5.0,4.0,245/40 R18 (opt 245/35 R19),245/40 R18 (opt 245/35 R19),Front Wheel Drive,40.0,5.0,800.0,110.0,320.0,8.7,219.0,135.0
Mercedes-Benz,C-Class C220d Avantgarde,2023,959900.0,9500.0,Automatic,Diesel,Unknown,White,Sedan,Front,2.0,i4,5.0,4.0,225/45 R18 (opt 225/40 R19),245/40 R18 (opt 255/35 R19),Rear Wheel Drive,66.0,4.7,1404.0,162.0,440.0,7.3,245.0,122.0
Audi,S3 Sedan Quattro,2022,889995.0,14301.0,Automatic,Petrol,Unknown,Glacier white metallic,Sedan,Front,2.0,i4,5.0,4.0,235/35 R19,235/35 R19,All Wheel Drive,55.0,7.8,705.0,213.0,400.0,4.9,250.0,182.0
Toyota,Corolla Quest 1.8 Prestige Auto,2021,289995.0,26500.0,Automatic,Petrol,1,Grey metallic,Sedan,Front,1.8,i4,5.0,4.0,205/55 R16,205/55 R16,Front Wheel Drive,55.0,6.4,859.0,103.0,173.0,10.2,195.0,152.0
Mercedes-Benz,GLE GLE300d 4Matic,2021,1299900.0,29500.0,Automatic,Diesel,Unknown,Grey,SUV,Front,2.0,i4,5.0,5.0,235/60 R18 (opt 255/50 R19 / opt 275/50 R20 / opt 275/45 R21 / opt 285/40 R22),235/60 R18 (opt 255/50 R19 / opt 275/50 R20 / opt 315/40 R21 / opt 325/35 R22),All Wheel Drive,80.0,6.4,1250.0,180.0,500.0,7.2,225.0,179.0
Jeep,Gladiator 3.6 Rubicon Double Cab,2023,1299900.0,1000.0,Automatic,Petrol,Unknown,Sting grey,Double cab,Front,3.6,V6,5.0,4.0,255/70 R17,255/70 R17,4x4,83.0,2.4,669.0,209.0,347.0,,,288.0
Ford,Ranger 3.0 V6 Ecoboost Double Cab Raptor 4wd,2023,1399990.0,250.0,Automatic,Petrol,Unknown,Silver,Double cab,Front,3.0,V6,5.0,4.0,285/70 R17,285/70 R17,4x4,80.0,0.5,696.0,292.0,583.0,,,262.0
Mahindra,Pik Up 2.2CRDe Double Cab S11 Karoo,2022,379990.0,59000.0,Automatic,Diesel,Unknown,White,Double cab,Front,2.2,i4,5.0,4.0,245/75 R16,245/75 R16,4x2,80.0,9.3,860.0,103.0,320.0,,,247.0
Ford,Ranger 3.0 V6 Ecoboost Double Cab Raptor 4wd,2023,1399990.0,250.0,Automatic,Petrol,Unknown,White,Double cab,Front,3.0,V6,5.0,4.0,285/70 R17,285/70 R17,4x4,80.0,0.5,696.0,292.0,583.0,,,262.0
Volkswagen,T-Cross 1.0TSI 85kW Comfortline R-Line,2020,349900.0,42536.0,Automatic,Petrol,Unknown,White,SUV,Front,1.0,i3,5.0,5.0,205/55 R17,205/55 R17,Front Wheel Drive,40.0,5.3,755.0,85.0,200.0,10.2,193.0,126.0
Volkswagen,Polo Vivo Hatch 1.4 Trendline,2022,219900.0,31223.0,Manual,Petrol,Unknown,White,Hatchback,Front,1.4,i4,5.0,5.0,185/60 R14 (opt 185/60 R15),185/60 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.7,790.0,55.0,130.0,,171.0,134.0
Volkswagen,Polo Vivo Hatch 1.4 Trendline,2022,219900.0,27079.0,Manual,Petrol,Unknown,White,Hatchback,Front,1.4,i4,5.0,5.0,185/60 R14 (opt 185/60 R15),185/60 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.7,790.0,55.0,130.0,,171.0,134.0
Volkswagen,Polo Sedan 1.4 Trendline,2022,249900.0,14772.0,Manual,Petrol,Unknown,White,Sedan,Front,1.4,i4,5.0,4.0,175/70 R14,175/70 R14,Front Wheel Drive,55.0,5.9,932.0,63.0,132.0,12.8,178.0,139.0
Volkswagen,Polo Hatch 1.0TSI 85kW Life,2022,329900.0,30288.0,Automatic,Petrol,Unknown,Silver,Hatchback,Front,1.0,i3,5.0,5.0,185/65 R15 (opt 195/55 R16),185/70 R14 (opt 185/65 R15),Front Wheel Drive,40.0,5.4,741.0,85.0,200.0,11.3,200.0,123.0
