Brand,Model,Year,Price,Mileage,Transmission,Fuel Type,Previous Owners,Color,Body Type,Engine position,Engine capacity (litre),Cylinder layout and quantity,Seats (quantity),No of doors,Front tyres,Rear tyres,Driven wheels,Fuel capacity,Fuel consumption (average),Fuel range (average),Power maximum (detail),Torque maximum,Acceleration 0-100 km/h,Maximum/top speed,CO2 emissions (average)
Suzuki,Swift 1.2 GL,2022,160000.0,10000.0,Manual,Petrol,1,White,Hatchback,Front,1.2,i4,5.0,5.0,165/80 R14,165/80 R14,Front Wheel Drive,37.0,4.9,755.0,61.0,113.0,12.0,170.0,116.0
Volkswagen,T-Cross 1.0TSI 70kW Comfortline R-Line,2023,374950.0,4500.0,Manual,Petrol,1,Reflex silver metallic,SUV,Front,1.0,i3,5.0,5.0,205/55 R17,205/55 R17,Front Wheel Drive,40.0,4.8,833.0,70.0,175.0,10.8,180.0,110.0
Toyota,Hilux 2.8GD-6 Double Cab 4x4 GR-Sport / GR-S,2022,929995.0,14000.0,Automatic,Diesel,1,White,Double cab,Front,2.8,i4,5.0,4.0,265/65 R17,265/65 R17,4x4,80.0,8.0,1000.0,165.0,550.0,,180.0,210.0
Volvo,XC60 B5 Momentum,2022,829950.0,19900.0,Automatic,Petrol,1,Thunder grey metallic,SUV,Front,2.0,i4,5.0,5.0,235/60 R18 (opt 235/55 R19 / opt 255/45 R20 / opt 255/40 R21),235/60 R18 (opt 235/55 R19 / opt 255/45 R20 / opt 255/40 R21),Front Wheel Drive,71.0,6.9,1029.0,183.0,350.0,7.0,180.0,158.0
Peugeot,208 1.2T GT Line Auto,2020,239900.0,56000.0,Automatic,Petrol,1,White,Hatchback,Front,1.2,i3,5.0,5.0,205/45 R17,205/45 R17,Front Wheel Drive,50.0,4.5,1111.0,81.0,205.0,9.8,190.0,104.0
BMW,X3 xDrive20d M Sport,2018,569900.0,52000.0,Automatic,Diesel,Unknown,White,SUV,Front,2.0,i4,5.0,5.0,245/50 R19 (opt 245/45 R20 / opt 245/40 R21),245/50 R19 (opt 275/40 R20 / opt 275/35 R21),All Wheel Drive,68.0,5.5,1236.0,140.0,400.0,8.0,213.0,146.0
Toyota,Hilux 2.4GD-6 Xtra Cab SRX Auto,2019,345000.0,96000.0,Automatic,Diesel,1,Silver,Extended cab,Front,2.4,i4,2.0,4.0,265/65 R17,265/65 R17,4x2,80.0,,,110.0,400.0,13.2,175.0,
Volkswagen,Polo Hatch 1.0TSI Comfortline,2021,220000.0,19000.0,Manual,Petrol,Unknown,Orange,Hatchback,Front,1.0,i3,5.0,5.0,185/65 R15,185/65 R15,Front Wheel Drive,40.0,5.4,741.0,70.0,175.0,10.8,187.0,121.0
Haval,H6 C 2.0T Luxury Auto,2019,339900.0,65000.0,Automatic,Petrol,Unknown,White,SUV,Front,2.0,i4,5.0,5.0,225/55 R19,225/55 R19,Front Wheel Drive,61.0,9.8,622.0,140.0,310.0,,190.0,225.0
Nissan,Navara 2.5DDTi SE,2021,329900.0,7000.0,Manual,Diesel,Unknown,White,Single cab,Front,2.5,i4,2.0,2.0,205 R16C,205 R16C,4x2,80.0,7.2,1111.0,120.0,403.0,,,190.0
Audi,A3 Sedan 35TFSI S Line,2023,679995.0,24.0,Automatic,Petrol,1,Glacier white metallic,Sedan,Front,1.4,i4,5.0,4.0,225/45 R17 (opt 225/40 R18 / opt 235/35 R19),225/45 R17 (opt 225/40 R18 / opt 235/35 R19),Front Wheel Drive,40.0,6.1,656.0,110.0,250.0,8.2,227.0,138.0
Datsun,Go 1.2 Lux,2018,77999.0,82000.0,Manual,Petrol,1,Silver,Hatchback,Front,1.2,i3,5.0,5.0,165/70 R14,165/70 R14,Front Wheel Drive,35.0,5.5,636.0,50.0,104.0,13.3,161.0,127.0
Ford,Ranger 2.0Bi-Turbo Double Cab 4x4 Raptor Special Edition,2021,799800.0,34000.0,Automatic,Diesel,1,Blue,Double cab,Front,2.0,i4,5.0,4.0,285/70 R17,285/70 R17,4x4,80.0,8.3,964.0,157.0,500.0,,,220.0
Volkswagen,Caravelle 2.0BiTDI 146kW Highline 4Motion,2021,1249900.0,30000.0,Automatic,Diesel,Unknown,White,MPV,Front,2.0,i4,7.0,5.0,235/55 R17,235/55 R17,All Wheel Drive,80.0,8.2,976.0,146.0,450.0,10.3,198.0,214.0
GWM,P-Series 2.0TD Double Cab LS,2023,515800.0,200.0,Automatic,Diesel,Unknown,Silver,Double cab,Front,2.0,i4,5.0,4.0,265/60 R18,265/60 R18,Rear Wheel Drive,78.0,,,120.0,400.0,,,219.0
Hyundai,Accent Hatch 1.6 Fluid Auto,2018,169999.0,60000.0,Automatic,Petrol,1,White,Hatchback,Front,1.6,i4,5.0,5.0,195/50 R15,195/50 R15,Front Wheel Drive,43.0,6.8,632.0,91.0,156.0,11.4,184.0,161.0
Nissan,Patrol 5.6 V8 LE 4WD,2022,1299900.0,14340.0,Automatic,Petrol,1,White,SUV,Front,5.6,V8,7.0,5.0,265/70 R18,265/70 R18,4x4,140.0,4.4,972.0,298.0,560.0,,210.0,334.0
Renault,Kwid 1.0 Dynamique,2021,139800.0,51500.0,Manual,Petrol,Unknown,White,Hatchback,Front,1.0,i3,5.0,5.0,165/70 R14,165/70 R14,Front Wheel Drive,28.0,4.7,596.0,50.0,91.0,,152.0,112.0
Volkswagen,Polo Vivo Hatch 1.4 Trendline,2022,218900.0,31918.0,Manual,Petrol,Unknown,White,Hatchback,Front,1.4,i4,5.0,5.0,175/70 R14 (opt 185/60 R15),175/70 R14 (opt 185/60 R15),Front Wheel Drive,45.0,5.7,790.0,55.0,130.0,,171.0,134.0
Ford,EcoSport 1.0T Titanium,2019,219800.0,101500.0,Manual,Petrol,Unknown,Blue,SUV,Front,1.0,i3,5.0,5.0,205/50 R17,205/50 R17,Front Wheel Drive,52.0,5.4,963.0,92.0,170.0,12.7,181.0,123.0
Toyota,Starlet 1.4 Xi,2022,199990.0,32000.0,Manual,Petrol,Unknown,Grey,Hatchback,Front,1.4,i4,5.0,5.0,175/65 R15,175/65 R15,Front Wheel Drive,37.0,5.1,726.0,68.0,130.0,10.9,180.0,120.0
MINI,Convertible Cooper Convertible,2020,439000.0,21000.0,Automatic,Petrol,Unknown,Emerald grey,Cabriolet,Front,1.5,i3,4.0,2.0,205/55 R16 (opt 205/45 R17),205/55 R16 (opt 205/45 R17),Front Wheel Drive,40.0,5.6,714.0,100.0,220.0,8.7,206.0,129.0
